VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,RatecodeID,date_ordinal,SNOW_pred,TAVG_pred,PRCP_pred
2,2015-01-15 19:05:39,2015-01-15 19:23:42,1,1.59,-73.993896484375,40.7501106262207,1.0,N,-73.97478485107422,40.75061798095703,1,12.0,1.0,0.5,3.25,0.0,0.3,17.05,,735613,2.2758808,12.708829,3.2200732
1,2015-01-10 20:33:38,2015-01-10 20:53:28,1,3.3,-74.00164794921875,40.7242431640625,1.0,N,-73.99441528320312,40.75910949707031,1,14.5,0.5,0.5,2.0,0.0,0.3,17.8,,735608,2.2758808,12.708829,3.2200732
1,2015-01-10 20:33:38,2015-01-10 20:43:41,1,1.8,-73.96334075927734,40.80278778076172,1.0,N,-73.95182037353516,40.82441329956056,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8,,735608,2.2758808,12.708829,3.2200732
1,2015-01-10 20:33:39,2015-01-10 20:35:31,1,0.5,-74.00908660888672,40.71381759643555,1.0,N,-74.00432586669923,40.71998596191406,2,3.5,0.5,0.5,0.0,0.0,0.3,4.8,,735608,2.2758808,12.708829,3.2200732
1,2015-01-10 20:33:39,2015-01-10 20:52:58,1,3.0,-73.97117614746092,40.762428283691406,1.0,N,-74.00418090820312,40.742652893066406,2,15.0,0.5,0.5,0.0,0.0,0.3,16.3,,735608,2.2758808,12.708829,3.2200732
1,2015-01-10 20:33:39,2015-01-10 20:53:52,1,9.0,-73.87437438964845,40.7740478515625,1.0,N,-73.98697662353516,40.75819396972656,1,27.0,0.5,0.5,6.7,5.33,0.3,40.33,,735608,2.2758808,12.708829,3.2200732
1,2015-01-10 20:33:39,2015-01-10 20:58:31,1,2.2,-73.9832763671875,40.72600936889648,1.0,N,-73.99246978759764,40.7496337890625,2,14.0,0.5,0.5,0.0,0.0,0.3,15.3,,735608,2.2758808,12.708829,3.2200732
1,2015-01-10 20:33:39,2015-01-10 20:42:20,3,0.8,-74.00266265869139,40.7341423034668,1.0,N,-73.99501037597656,40.72632598876953,1,7.0,0.5,0.5,1.66,0.0,0.3,9.96,,735608,2.2758808,12.708829,3.2200732
1,2015-01-10 20:33:39,2015-01-10 21:11:35,3,18.2,-73.78304290771484,40.644355773925774,2.0,N,-73.98759460449217,40.75935745239258,2,52.0,0.0,0.5,0.0,5.33,0.3,58.13,,735608,2.2758808,12.708829,3.2200732
1,2015-01-10 20:33:40,2015-01-10 20:40:44,2,0.9,-73.98558807373048,40.767948150634766,1.0,N,-73.98591613769531,40.75936508178711,1,6.5,0.5,0.5,1.55,0.0,0.3,9.35,,735608,2.2758808,12.708829,3.2200732
1,2015-01-10 20:33:40,2015-01-10 20:41:39,1,0.9,-73.98861694335938,40.72310256958008,1.0,N,-74.00439453125,40.72858428955078,1,7.0,0.5,0.5,1.66,0.0,0.3,9.96,,735608,2.2758808,12.708829,3.2200732
1,2015-01-10 20:33:41,2015-01-10 20:43:26,1,1.1,-73.99378204345702,40.751419067382805,1.0,N,-73.9674072265625,40.75721740722656,1,7.5,0.5,0.5,1.0,0.0,0.3,9.8,,735608,2.2758808,12.708829,3.2200732
1,2015-01-10 20:33:41,2015-01-10 20:35:23,1,0.3,-74.00836181640625,40.704376220703125,1.0,N,-74.00977325439453,40.70772552490234,2,3.0,0.5,0.5,0.0,0.0,0.3,4.3,,735608,2.2758808,12.708829,3.2200732
1,2015-01-10 20:33:41,2015-01-10 21:03:04,1,3.1,-73.97394561767578,40.76044845581056,1.0,N,-73.99734497070312,40.735210418701165,1,19.0,0.5,0.5,3.0,0.0,0.3,23.3,,735608,2.2758808,12.708829,3.2200732
1,2015-01-10 20:33:41,2015-01-10 20:39:23,1,1.1,-74.00672149658203,40.7317771911621,1.0,N,-73.99521636962889,40.73989486694336,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,,735608,2.2758808,12.708829,3.2200732
2,2015-01-15 19:05:39,2015-01-15 19:32:00,1,2.38,-73.97642517089844,40.73981094360352,1.0,N,-73.98397827148438,40.75788879394531,1,16.5,1.0,0.5,4.38,0.0,0.3,22.68,,735613,2.2758808,12.708829,3.2200732
2,2015-01-15 19:05:40,2015-01-15 19:21:00,5,2.83,-73.96870422363281,40.75424575805664,1.0,N,-73.9551239013672,40.78685760498047,2,12.5,1.0,0.5,0.0,0.0,0.3,14.3,,735613,2.2758808,12.708829,3.2200732
2,2015-01-15 19:05:40,2015-01-15 19:28:18,5,8.33,-73.8630599975586,40.769580841064446,1.0,N,-73.95271301269531,40.78578186035156,1,26.0,1.0,0.5,8.08,5.33,0.3,41.21,,735613,2.2758808,12.708829,3.2200732
2,2015-01-15 19:05:41,2015-01-15 19:20:36,1,2.37,-73.94554138183594,40.779422760009766,1.0,N,-73.98085021972656,40.78608322143555,1,11.5,1.0,0.5,0.0,0.0,0.3,13.3,,735613,2.2758808,12.708829,3.2200732
2,2015-01-15 19:05:41,2015-01-15 19:20:22,2,7.13,-73.87445831298828,40.77400970458984,1.0,N,-73.95237731933594,40.71858978271485,1,21.5,1.0,0.5,4.5,0.0,0.3,27.8,,735613,2.2758808,12.708829,3.2200732
2,2015-01-15 19:05:41,2015-01-15 19:31:00,1,3.6,-73.97660064697266,40.751895904541016,1.0,N,-73.9989242553711,40.71459579467773,2,17.5,1.0,0.5,0.0,0.0,0.3,19.3,,735613,2.2758808,12.708829,3.2200732
2,2015-01-15 19:05:41,2015-01-15 19:10:22,1,0.89,-73.99495697021484,40.745079040527344,1.0,N,-73.99993896484375,40.734649658203125,1,5.5,1.0,0.5,1.62,0.0,0.3,8.92,,735613,2.2758808,12.708829,3.2200732
